text,label,annotation_notes
Lol that’s because unlike you our focus is on bigger and harder trophies to win. which we are getting closer and closer to win each year. Do you really think Arteta would have rested Rice and Partey against man utd in the FA cup if he wanted to win it?,hot_take,Bold opinion or claim asserted without checkable evidence.
Having a bias for one team and against all other teams they play against is literally how being a fan works. The only person who isn’t biased to any degree is someone who doesn’t support any team or doesn’t watch football at all.,hot_take,Bold opinion or claim asserted without checkable evidence.
"Neither was la liga. 5 different teams have won la liga since 2000. In PL, that number is 6 which isn’t a big difference.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Losing the arguments, PGMOL princess?",reaction,"Emotional/expressive, joke, or insult with no claim to defend."
They've performed well so far this season,hot_take,Bold opinion or claim asserted without checkable evidence.
Interesting I presume you have boycotted attending the Emirates and Arsenal due to Visit Rwanda sponsorship.,hot_take,Bold opinion or claim asserted without checkable evidence.
"No they don’t. Out of the top 10 scorers in the Premier League this season, five have overperformed and five have underperformed their xG this season. You would expect more players there to overperform their xG than average as your self-selecting the best scorers. Salah’s is modest, Isak even more so. Haaland has underperformed his xG. Across the league as a whole, xG has been underperformed by 150 goals. Chris Wood has overperformed his xG by 5.5 this season, meaning he’s scoring four goals for every three that he would on average score. It’s not a sustainable over performance of xG long-term which indicates a fortunate period of good form.",analysis,xG breakdown with concrete per-player numbers -> evidence-backed analysis.
"I have said nothing about Newcastle being state funded. Other people have said that not me, I don’t see an issue with it, all billionaire money is likely dirty one way or another. I’m just pointing out things I have noticed about the way Newcastle are discussed and favoured in the media and sometimes on the pitch my officials",hot_take,Bold opinion or claim asserted without checkable evidence.
"It's had some good things, very strong mid table for sure. And the cup winners were cool. But the title was over by xmas and the relegation battle was too.",hot_take,Bold opinion or claim asserted without checkable evidence.
"No it shouldn’t. But being the league winning manager has to put you into the conversation, especially if you don’t have the highest wage bill.",hot_take,Bold opinion or claim asserted without checkable evidence.
I see you lack objectivity which is not a huge surprise. Good day sir.,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
"What lol. If I'm a Southampton fan, I have no bias for or against anyone in the top 6 for example, so I can comment without bias and my opinion can be considered as such. If I make a comment about Southampton, it's fair to assume bias. So not everyone has a bias. Usually only when your commenting on your club or your rivals. Id like to think that people aren't big enough cunts to have a bias against all teams that arent there's lol.",hot_take,Bold opinion or claim asserted without checkable evidence.
And the fact he was also detrimental to the team due to not being able to run and press from the front. Plus his link up play had become absolutely shocking.,hot_take,Bold opinion or claim asserted without checkable evidence.
You do realise Arsenal are also sponsored by the Emirates?,hot_take,Bold opinion or claim asserted without checkable evidence.
Second in 35 years then,hot_take,Bold opinion or claim asserted without checkable evidence.
Where is the lie? I don’t get our fanbase sometimes. It’s like we want to live in delusion instead of facing reality.,hot_take,Bold opinion or claim asserted without checkable evidence.
"Unbelievable really. Can't wait for the final day, I say both teams just have a party!",reaction,"Emotional/expressive, joke, or insult with no claim to defend."
Every fan is going to be biased towards their team and against all other teams in the league. Everyone on this sub has a biased opinion so you can’t really use that for or against anything,hot_take,Bold opinion or claim asserted without checkable evidence.
"If Arsenal finished 12th and won FA Cup, would you think he is more or less likely to keep his job?",hot_take,Edge case C: rhetorical question carrying an opinion -> hot_take.
They are afraid of the very handsome prince of Saudi Arabia,hot_take,Bold opinion or claim asserted without checkable evidence.
"You’re bringing up an incident from over a year ago. Also omitting the fact that juts minutes before Bruno’s challenge on Jorginho, Havertz had tried to break Longstaff’s legs. Both should have been red cards. Jackson delicately allowed Botman and got sent off. I don’t recall a Newcastle player doing that this season.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"What's funny is though that even in our banter era we are still winning more trophies than you. Last 5 years: Arsenal - 0 Utd - Fa Cup, League Cup, soon to be Europa League You win an FA Cup and think it's the Champions League!",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Joe Gomez, Diogo Jota and Trent also had injuries.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
Dont blame us. Blame Arteta who keeps fuelling the fire,hot_take,Bold opinion or claim asserted without checkable evidence.
